team,visitor,tscore,vscore,gamespread,shorthome,shortvis,attendance
Brooklyn Nets,Phoenix Suns,120,136,-16,Nets,Suns,0
Portland Trail Blazers,Milwaukee Bucks,119,116,3,Blazers,Bucks,0
New York Knicks,Indiana Pacers,109,105,4,Knicks,Pacers,0
Boston Celtics,Los Angeles Lakers,105,114,-9,Celtics,Lakers,0
Memphis Grizzlies,Cleveland Cavaliers,101,108,-7,Grizzlies,Cavaliers,0
Utah Jazz,Philadelphia 76ers,124,127,-3,Jazz,76ers,0
Detroit Pistons,LA Clippers,125,136,-11,Pistons,Clippers,0
Washington Wizards,Miami Heat,102,110,-8,Wizards,Heat,0
Indiana Pacers,Sacramento Kings,122,133,-11,Pacers,Kings,0
Atlanta Hawks,Phoenix Suns,129,120,9,Hawks,Suns,0
San Antonio Spurs,New Orleans Pelicans,113,114,-1,Spurs,Pelicans,0
Minnesota Timberwolves,Orlando Magic,106,108,-2,Timberwolves,Magic,0
Houston Rockets,Toronto Raptors,135,106,29,Rockets,Raptors,0
Memphis Grizzlies,Golden State Warriors,101,121,-20,Grizzlies,Warriors,0
Oklahoma City Thunder,Charlotte Hornets,126,106,20,Thunder,Hornets,0
Denver Nuggets,Portland Trail Blazers,120,108,12,Nuggets,Blazers,0
Philadelphia 76ers,Brooklyn Nets,121,136,-15,76ers,Nets,0
Atlanta Hawks,Golden State Warriors,141,134,7,Hawks,Warriors,0
Chicago Bulls,Sacramento Kings,115,123,-8,Bulls,Kings,0
Dallas Mavericks,Milwaukee Bucks,117,129,-12,Mavericks,Bucks,0
San Antonio Spurs,Cleveland Cavaliers,101,117,-16,Spurs,Cavaliers,0
New York Knicks,Los Angeles Lakers,105,113,-8,Knicks,Lakers,0
Detroit Pistons,Orlando Magic,99,111,-12,Pistons,Magic,0
Washington Wizards,Phoenix Suns,112,140,-28,Wizards,Suns,0
Boston Celtics,Memphis Grizzlies,131,91,40,Celtics,Grizzlies,0
Miami Heat,LA Clippers,95,103,-8,Heat,Clippers,0
Charlotte Hornets,Indiana Pacers,99,115,-16,Hornets,Pacers,0
Oklahoma City Thunder,Toronto Raptors,135,127,8,Thunder,Raptors,0
Minnesota Timberwolves,Houston Rockets,111,90,21,Timberwolves,Rockets,0
Utah Jazz,Milwaukee Bucks,123,108,15,Jazz,Bucks,0
Denver Nuggets,Portland Trail Blazers,112,103,9,Nuggets,Blazers,0
Philadelphia 76ers,Dallas Mavericks,102,118,-16,76ers,Mavericks,0
Cleveland Cavaliers,Sacramento Kings,136,110,26,Cavaliers,Kings,0
Charlotte Hornets,Los Angeles Lakers,118,124,-6,Hornets,Lakers,0
Atlanta Hawks,LA Clippers,144,149,-5,Hawks,Clippers,0
Brooklyn Nets,Golden State Warriors,98,109,-11,Nets,Warriors,0
New Orleans Pelicans,Toronto Raptors,138,100,38,Pelicans,Raptors,0
Indiana Pacers,Houston Rockets,132,129,3,Pacers,Rockets,0
Miami Heat,Orlando Magic,121,95,26,Heat,Magic,0
New York Knicks,Memphis Grizzlies,123,113,10,Knicks,Grizzlies,0
Brooklyn Nets,Dallas Mavericks,107,119,-12,Nets,Mavericks,0
Chicago Bulls,Minnesota Timberwolves,129,123,6,Bulls,Timberwolves,0
Utah Jazz,Oklahoma City Thunder,124,117,7,Jazz,Thunder,0
Phoenix Suns,Milwaukee Bucks,114,106,8,Suns,Bucks,0
Washington Wizards,Cleveland Cavaliers,106,114,-8,Wizards,Cavaliers,0
Charlotte Hornets,Toronto Raptors,117,123,-6,Hornets,Raptors,0
Miami Heat,San Antonio Spurs,116,104,12,Heat,Spurs,0
Philadelphia 76ers,Golden State Warriors,104,127,-23,76ers,Warriors,0
Boston Celtics,Atlanta Hawks,125,117,8,Celtics,Hawks,0
LA Clippers,New Orleans Pelicans,106,117,-11,Clippers,Pelicans,0
Sacramento Kings,Detroit Pistons,120,133,-13,Kings,Pistons,0
Indiana Pacers,Golden State Warriors,109,131,-22,Pacers,Warriors,0
Orlando Magic,San Antonio Spurs,127,111,16,Magic,Spurs,0
Brooklyn Nets,Cleveland Cavaliers,95,118,-23,Nets,Cavaliers,0
New York Knicks,Dallas Mavericks,108,122,-14,Knicks,Mavericks,0
Milwaukee Bucks,Minnesota Timberwolves,105,129,-24,Bucks,Timberwolves,0
Memphis Grizzlies,Chicago Bulls,110,118,-8,Grizzlies,Bulls,0
Phoenix Suns,Utah Jazz,129,115,14,Suns,Jazz,0
Portland Trail Blazers,Detroit Pistons,122,128,-6,Blazers,Pistons,0
Los Angeles Lakers,Denver Nuggets,106,114,-8,Lakers,Nuggets,0
Philadelphia 76ers,Atlanta Hawks,121,127,-6,76ers,Hawks,0
Toronto Raptors,Houston Rockets,107,104,3,Raptors,Rockets,0
Boston Celtics,Washington Wizards,133,129,4,Celtics,Wizards,0
Milwaukee Bucks,Charlotte Hornets,120,84,36,Bucks,Hornets,0
Sacramento Kings,Denver Nuggets,135,106,29,Kings,Nuggets,0
Los Angeles Lakers,New Orleans Pelicans,139,122,17,Lakers,Pelicans,0
Dallas Mavericks,Oklahoma City Thunder,146,111,35,Mavericks,Thunder,0
LA Clippers,Detroit Pistons,112,106,6,Clippers,Pistons,0
Brooklyn Nets,San Antonio Spurs,123,103,20,Nets,Spurs,0
Charlotte Hornets,Memphis Grizzlies,115,106,9,Hornets,Grizzlies,0
Orlando Magic,Chicago Bulls,114,108,6,Magic,Bulls,0
Washington Wizards,Philadelphia 76ers,113,119,-6,Wizards,76ers,0
Atlanta Hawks,Houston Rockets,122,113,9,Hawks,Rockets,0
New York Knicks,Indiana Pacers,111,125,-14,Knicks,Pacers,0
Toronto Raptors,Cleveland Cavaliers,95,119,-24,Raptors,Cavaliers,0
Golden State Warriors,Phoenix Suns,113,112,1,Warriors,Suns,0
Portland Trail Blazers,New Orleans Pelicans,84,93,-9,Blazers,Pelicans,0
Miami Heat,Boston Celtics,106,110,-4,Heat,Celtics,0
Oklahoma City Thunder,Sacramento Kings,127,113,14,Thunder,Kings,0
Charlotte Hornets,Indiana Pacers,111,102,9,Hornets,Pacers,0
Cleveland Cavaliers,Philadelphia 76ers,121,123,-2,Cavaliers,76ers,0
Atlanta Hawks,Chicago Bulls,126,136,-10,Hawks,Bulls,0
Toronto Raptors,San Antonio Spurs,99,122,-23,Raptors,Spurs,0
Milwaukee Bucks,Denver Nuggets,112,95,17,Bucks,Nuggets,0
Memphis Grizzlies,New Orleans Pelicans,87,96,-9,Grizzlies,Pelicans,0
Houston Rockets,New York Knicks,105,103,2,Rockets,Knicks,0
Dallas Mavericks,Washington Wizards,112,104,8,Mavericks,Wizards,0
Utah Jazz,Golden State Warriors,107,129,-22,Jazz,Warriors,0
LA Clippers,Minnesota Timberwolves,100,121,-21,Clippers,Timberwolves,0
Orlando Magic,Oklahoma City Thunder,113,127,-14,Magic,Thunder,0
Brooklyn Nets,Boston Celtics,110,118,-8,Nets,Celtics,0
Milwaukee Bucks,Miami Heat,97,123,-26,Bucks,Heat,0
Portland Trail Blazers,Minnesota Timberwolves,109,121,-12,Blazers,Timberwolves,0
Phoenix Suns,Sacramento Kings,130,125,5,Suns,Kings,0
Los Angeles Lakers,Detroit Pistons,125,111,14,Lakers,Pistons,0
Charlotte Hornets,Atlanta Hawks,122,99,23,Hornets,Hawks,0
Orlando Magic,New York Knicks,118,100,18,Magic,Knicks,0
Philadelphia 76ers,Miami Heat,104,109,-5,76ers,Heat,0
Cleveland Cavaliers,Chicago Bulls,108,105,3,Cavaliers,Bulls,0
Toronto Raptors,Indiana Pacers,125,127,-2,Raptors,Pacers,0
Boston Celtics,Brooklyn Nets,136,86,50,Celtics,Nets,0
Memphis Grizzlies,Houston Rockets,121,113,8,Grizzlies,Rockets,0
New Orleans Pelicans,Washington Wizards,133,126,7,Pelicans,Wizards,0
Dallas Mavericks,San Antonio Spurs,116,93,23,Mavericks,Spurs,0
Denver Nuggets,Sacramento Kings,98,102,-4,Nuggets,Kings,0
Phoenix Suns,Detroit Pistons,116,100,16,Suns,Pistons,0
Utah Jazz,Los Angeles Lakers,122,138,-16,Jazz,Lakers,0
Golden State Warriors,LA Clippers,125,130,-5,Warriors,Clippers,0
Memphis Grizzlies,Milwaukee Bucks,113,110,3,Grizzlies,Bucks,0
Utah Jazz,Golden State Warriors,137,140,-3,Jazz,Warriors,0
Portland Trail Blazers,Minnesota Timberwolves,91,128,-37,Blazers,Timberwolves,0
Indiana Pacers,Detroit Pistons,129,115,14,Pacers,Pistons,0
Toronto Raptors,Brooklyn Nets,121,93,28,Raptors,Nets,0
Philadelphia 76ers,New York Knicks,96,110,-14,76ers,Knicks,0
Cleveland Cavaliers,Orlando Magic,109,116,-7,Cavaliers,Magic,0
Dallas Mavericks,Phoenix Suns,123,113,10,Mavericks,Suns,0
Chicago Bulls,Boston Celtics,112,129,-17,Bulls,Celtics,0
Oklahoma City Thunder,LA Clippers,129,107,22,Thunder,Clippers,0
New Orleans Pelicans,Houston Rockets,127,105,22,Pelicans,Rockets,0
Utah Jazz,Charlotte Hornets,107,115,-8,Jazz,Hornets,0
Denver Nuggets,Washington Wizards,130,110,20,Nuggets,Wizards,0
Golden State Warriors,Los Angeles Lakers,128,110,18,Warriors,Lakers,0
Sacramento Kings,San Antonio Spurs,127,122,5,Kings,Spurs,0
Philadelphia 76ers,Cleveland Cavaliers,104,97,7,76ers,Cavaliers,0
Atlanta Hawks,Toronto Raptors,121,123,-2,Hawks,Raptors,0
New Orleans Pelicans,Miami Heat,95,106,-11,Pelicans,Heat,0
Memphis Grizzlies,LA Clippers,95,101,-6,Grizzlies,Clippers,0
Houston Rockets,Phoenix Suns,114,110,4,Rockets,Suns,0
Oklahoma City Thunder,Washington Wizards,147,106,41,Thunder,Wizards,0
Minnesota Timberwolves,Milwaukee Bucks,107,112,-5,Timberwolves,Bucks,0
Golden State Warriors,Charlotte Hornets,97,84,13,Warriors,Hornets,0
Portland Trail Blazers,Denver Nuggets,112,127,-15,Blazers,Nuggets,0
Los Angeles Lakers,San Antonio Spurs,123,118,5,Lakers,Spurs,0
Detroit Pistons,Orlando Magic,109,112,-3,Pistons,Magic,0
New York Knicks,Boston Celtics,102,116,-14,Knicks,Celtics,0
Minnesota Timberwolves,Brooklyn Nets,101,86,15,Timberwolves,Nets,0
Philadelphia 76ers,Milwaukee Bucks,98,119,-21,76ers,Bucks,0
Phoenix Suns,Los Angeles Lakers,123,113,10,Suns,Lakers,0
Indiana Pacers,Dallas Mavericks,133,111,22,Pacers,Mavericks,0
Washington Wizards,Cleveland Cavaliers,105,114,-9,Wizards,Cavaliers,0
Golden State Warriors,Denver Nuggets,103,119,-16,Warriors,Nuggets,0
Atlanta Hawks,Orlando Magic,109,92,17,Hawks,Magic,0
Houston Rockets,Oklahoma City Thunder,110,123,-13,Rockets,Thunder,0
New Orleans Pelicans,Chicago Bulls,106,114,-8,Pelicans,Bulls,0
Utah Jazz,San Antonio Spurs,128,109,19,Jazz,Spurs,0
Portland Trail Blazers,Charlotte Hornets,80,93,-13,Blazers,Hornets,0
LA Clippers,Sacramento Kings,107,123,-16,Clippers,Kings,0
Indiana Pacers,Toronto Raptors,122,130,-8,Pacers,Raptors,0
New York Knicks,Detroit Pistons,113,111,2,Knicks,Pistons,0
Memphis Grizzlies,Brooklyn Nets,86,111,-25,Grizzlies,Nets,0
Sacramento Kings,Miami Heat,110,121,-11,Kings,Heat,0
Washington Wizards,Golden State Warriors,112,123,-11,Wizards,Warriors,0
Cleveland Cavaliers,Dallas Mavericks,121,119,2,Cavaliers,Mavericks,0
Orlando Magic,Brooklyn Nets,108,81,27,Magic,Nets,0
New York Knicks,New Orleans Pelicans,92,115,-23,Knicks,Pelicans,0
Boston Celtics,Philadelphia 76ers,117,99,18,Celtics,76ers,0
Atlanta Hawks,Utah Jazz,124,97,27,Hawks,Jazz,0
Minnesota Timberwolves,San Antonio Spurs,114,105,9,Timberwolves,Spurs,0
Milwaukee Bucks,Charlotte Hornets,123,85,38,Bucks,Hornets,0
Chicago Bulls,Detroit Pistons,95,105,-10,Bulls,Pistons,0
Portland Trail Blazers,Miami Heat,96,106,-10,Blazers,Heat,0
Oklahoma City Thunder,Houston Rockets,112,95,17,Thunder,Rockets,0
Toronto Raptors,Dallas Mavericks,125,136,-11,Raptors,Mavericks,0
Indiana Pacers,New Orleans Pelicans,123,114,9,Pacers,Pelicans,0
Chicago Bulls,Cleveland Cavaliers,132,123,9,Bulls,Cavaliers,0
Minnesota Timberwolves,Memphis Grizzlies,110,101,9,Timberwolves,Grizzlies,0
Denver Nuggets,Sacramento Kings,117,96,21,Nuggets,Kings,0
LA Clippers,Los Angeles Lakers,112,116,-4,Clippers,Lakers,0
Charlotte Hornets,Milwaukee Bucks,99,111,-12,Hornets,Bucks,0
Orlando Magic,Utah Jazz,115,107,8,Magic,Jazz,0
Brooklyn Nets,Atlanta Hawks,124,97,27,Nets,Hawks,0
New York Knicks,Golden State Warriors,99,110,-11,Knicks,Warriors,0
San Antonio Spurs,Oklahoma City Thunder,132,118,14,Spurs,Thunder,0
Phoenix Suns,Houston Rockets,110,105,5,Suns,Rockets,0
Denver Nuggets,Miami Heat,103,97,6,Nuggets,Heat,0
Los Angeles Lakers,Washington Wizards,134,131,3,Lakers,Wizards,0
Philadelphia 76ers,Charlotte Hornets,121,114,7,76ers,Hornets,0
Detroit Pistons,Cleveland Cavaliers,100,110,-10,Pistons,Cavaliers,0
Boston Celtics,Dallas Mavericks,138,110,28,Celtics,Mavericks,0
Toronto Raptors,Golden State Warriors,105,120,-15,Raptors,Warriors,0
Memphis Grizzlies,Portland Trail Blazers,92,122,-30,Grizzlies,Blazers,0
New Orleans Pelicans,Indiana Pacers,129,102,27,Pelicans,Pacers,0
Minnesota Timberwolves,Sacramento Kings,120,124,-4,Timberwolves,Kings,0
Chicago Bulls,Milwaukee Bucks,97,113,-16,Bulls,Bucks,0
LA Clippers,Washington Wizards,140,115,25,Clippers,Wizards,0
Brooklyn Nets,Atlanta Hawks,114,102,12,Nets,Hawks,0
Miami Heat,Utah Jazz,126,120,6,Heat,Jazz,0
Memphis Grizzlies,Portland Trail Blazers,100,107,-7,Grizzlies,Blazers,0
Los Angeles Lakers,Denver Nuggets,114,124,-10,Lakers,Nuggets,0
Phoenix Suns,Houston Rockets,109,118,-9,Suns,Rockets,0
Dallas Mavericks,Philadelphia 76ers,116,120,-4,Mavericks,76ers,0
Boston Celtics,Golden State Warriors,140,88,52,Celtics,Warriors,0
Minnesota Timberwolves,LA Clippers,88,89,-1,Timberwolves,Clippers,0
Orlando Magic,Detroit Pistons,113,91,22,Magic,Pistons,0
Toronto Raptors,Charlotte Hornets,111,106,5,Raptors,Hornets,0
Cleveland Cavaliers,New York Knicks,98,107,-9,Cavaliers,Knicks,0
San Antonio Spurs,Indiana Pacers,117,105,12,Spurs,Pacers,0
Phoenix Suns,Oklahoma City Thunder,110,118,-8,Suns,Thunder,0
Brooklyn Nets,Memphis Grizzlies,102,106,-4,Nets,Grizzlies,0
Minnesota Timberwolves,Portland Trail Blazers,119,114,5,Timberwolves,Blazers,0
Milwaukee Bucks,LA Clippers,113,106,7,Bucks,Clippers,0
Utah Jazz,Washington Wizards,127,115,12,Jazz,Wizards,0
Sacramento Kings,Chicago Bulls,109,113,-4,Kings,Bulls,0
Los Angeles Lakers,Oklahoma City Thunder,116,104,12,Lakers,Thunder,0
Charlotte Hornets,Orlando Magic,89,101,-12,Hornets,Magic,0
Miami Heat,Detroit Pistons,118,110,8,Heat,Pistons,0
New York Knicks,Atlanta Hawks,100,116,-16,Knicks,Hawks,0
Brooklyn Nets,Philadelphia 76ers,112,107,5,Nets,76ers,0
Toronto Raptors,New Orleans Pelicans,98,139,-41,Raptors,Pelicans,0
Cleveland Cavaliers,Boston Celtics,105,104,1,Cavaliers,Celtics,0
Houston Rockets,San Antonio Spurs,114,101,13,Rockets,Spurs,0
Dallas Mavericks,Indiana Pacers,120,137,-17,Mavericks,Pacers,0
Denver Nuggets,Phoenix Suns,107,117,-10,Nuggets,Suns,0
Washington Wizards,Orlando Magic,109,119,-10,Wizards,Magic,0
Philadelphia 76ers,Memphis Grizzlies,109,115,-6,76ers,Grizzlies,0
Houston Rockets,LA Clippers,116,122,-6,Rockets,Clippers,0
Atlanta Hawks,Cleveland Cavaliers,112,101,11,Hawks,Cavaliers,0
Utah Jazz,Chicago Bulls,117,119,-2,Jazz,Bulls,0
Portland Trail Blazers,Oklahoma City Thunder,120,128,-8,Blazers,Thunder,0
Golden State Warriors,Milwaukee Bucks,125,90,35,Warriors,Bucks,0
Los Angeles Lakers,Sacramento Kings,120,130,-10,Lakers,Kings,0
Indiana Pacers,Minnesota Timberwolves,111,113,-2,Pacers,Timberwolves,0
Detroit Pistons,Brooklyn Nets,118,112,6,Pistons,Nets,0
Dallas Mavericks,Miami Heat,114,108,6,Mavericks,Heat,0
Phoenix Suns,Toronto Raptors,120,113,7,Suns,Raptors,0
Golden State Warriors,Chicago Bulls,122,125,-3,Warriors,Bulls,0
Denver Nuggets,Boston Celtics,115,109,6,Nuggets,Celtics,0
Sacramento Kings,San Antonio Spurs,131,129,2,Kings,Spurs,0
Philadelphia 76ers,New Orleans Pelicans,95,103,-8,76ers,Pelicans,0
Washington Wizards,Charlotte Hornets,112,100,12,Wizards,Hornets,0
Cleveland Cavaliers,Minnesota Timberwolves,113,104,9,Cavaliers,Timberwolves,0
New York Knicks,Orlando Magic,98,74,24,Knicks,Magic,0
Oklahoma City Thunder,Miami Heat,107,100,7,Thunder,Heat,0
Memphis Grizzlies,Atlanta Hawks,92,99,-7,Grizzlies,Hawks,0
Portland Trail Blazers,Houston Rockets,107,123,-16,Blazers,Rockets,0
Los Angeles Lakers,Milwaukee Bucks,123,122,1,Lakers,Bucks,0
LA Clippers,Chicago Bulls,112,102,10,Clippers,Bulls,0
Charlotte Hornets,Brooklyn Nets,110,99,11,Hornets,Nets,0
Detroit Pistons,Dallas Mavericks,124,142,-18,Pistons,Mavericks,0
Phoenix Suns,Boston Celtics,107,117,-10,Suns,Celtics,0
Golden State Warriors,San Antonio Spurs,113,126,-13,Warriors,Spurs,0
Denver Nuggets,Utah Jazz,142,121,21,Nuggets,Jazz,0
Portland Trail Blazers,Toronto Raptors,128,118,10,Blazers,Raptors,0
LA Clippers,Milwaukee Bucks,117,124,-7,Clippers,Bucks,0
Orlando Magic,Indiana Pacers,97,111,-14,Magic,Pacers,0
Miami Heat,Washington Wizards,108,110,-2,Heat,Wizards,0
Sacramento Kings,Houston Rockets,104,112,-8,Kings,Rockets,0
Atlanta Hawks,New Orleans Pelicans,103,116,-13,Hawks,Pelicans,0
Cleveland Cavaliers,Brooklyn Nets,101,120,-19,Cavaliers,Nets,0
Oklahoma City Thunder,Memphis Grizzlies,124,93,31,Thunder,Grizzlies,0
New York Knicks,Philadelphia 76ers,73,79,-6,Knicks,76ers,0
Los Angeles Lakers,Minnesota Timberwolves,120,109,11,Lakers,Timberwolves,0
Detroit Pistons,Charlotte Hornets,114,97,17,Pistons,Hornets,0
Cleveland Cavaliers,Phoenix Suns,111,117,-6,Cavaliers,Suns,0
San Antonio Spurs,Golden State Warriors,102,112,-10,Spurs,Warriors,0
Chicago Bulls,Dallas Mavericks,92,127,-35,Bulls,Mavericks,0
Denver Nuggets,Toronto Raptors,125,119,6,Nuggets,Raptors,0
Portland Trail Blazers,Boston Celtics,99,121,-22,Blazers,Celtics,0
New York Knicks,Philadelphia 76ers,106,79,27,Knicks,76ers,0
Memphis Grizzlies,Washington Wizards,109,97,12,Grizzlies,Wizards,0
Oklahoma City Thunder,Indiana Pacers,111,121,-10,Thunder,Pacers,0
San Antonio Spurs,Houston Rockets,101,103,-2,Spurs,Rockets,0
Utah Jazz,Boston Celtics,107,123,-16,Jazz,Celtics,0
LA Clippers,Minnesota Timberwolves,100,118,-18,Clippers,Timberwolves,0
Sacramento Kings,Milwaukee Bucks,129,94,35,Kings,Bucks,0
Orlando Magic,Brooklyn Nets,114,106,8,Magic,Nets,0
Detroit Pistons,Toronto Raptors,113,104,9,Pistons,Raptors,0
Miami Heat,Denver Nuggets,88,100,-12,Heat,Nuggets,0
Indiana Pacers,Chicago Bulls,129,132,-3,Pacers,Bulls,0
New Orleans Pelicans,Cleveland Cavaliers,95,116,-21,Pelicans,Cavaliers,0
Memphis Grizzlies,Charlotte Hornets,98,110,-12,Grizzlies,Hornets,0
Dallas Mavericks,Golden State Warriors,109,99,10,Mavericks,Warriors,0
Sacramento Kings,Los Angeles Lakers,120,107,13,Kings,Lakers,0
Portland Trail Blazers,Atlanta Hawks,106,102,4,Blazers,Hawks,0
Boston Celtics,Phoenix Suns,127,112,15,Celtics,Suns,0
Chicago Bulls,LA Clippers,111,126,-15,Bulls,Clippers,0
Houston Rockets,Washington Wizards,135,119,16,Rockets,Wizards,0
Milwaukee Bucks,Philadelphia 76ers,114,105,9,Bucks,76ers,0
Oklahoma City Thunder,Dallas Mavericks,126,119,7,Thunder,Mavericks,0
Portland Trail Blazers,New York Knicks,93,105,-12,Blazers,Knicks,0
Detroit Pistons,Miami Heat,95,108,-13,Pistons,Heat,0
Charlotte Hornets,Phoenix Suns,96,107,-11,Hornets,Suns,0
Toronto Raptors,Orlando Magic,103,113,-10,Raptors,Magic,0
New Orleans Pelicans,LA Clippers,112,104,8,Pelicans,Clippers,0
San Antonio Spurs,Denver Nuggets,106,117,-11,Spurs,Nuggets,0
Utah Jazz,Atlanta Hawks,124,122,2,Jazz,Hawks,0
Houston Rockets,Cleveland Cavaliers,117,103,14,Rockets,Cavaliers,0
New Orleans Pelicans,Portland Trail Blazers,126,107,19,Pelicans,Blazers,0
Philadelphia 76ers,Charlotte Hornets,109,98,11,76ers,Hornets,0
Indiana Pacers,Brooklyn Nets,121,100,21,Pacers,Nets,0
Chicago Bulls,Washington Wizards,127,98,29,Bulls,Wizards,0
Memphis Grizzlies,Oklahoma City Thunder,112,118,-6,Grizzlies,Thunder,0
Los Angeles Lakers,Golden State Warriors,121,128,-7,Lakers,Warriors,0
Utah Jazz,Minnesota Timberwolves,100,119,-19,Jazz,Timberwolves,0
Sacramento Kings,New York Knicks,91,98,-7,Kings,Knicks,0
Milwaukee Bucks,Phoenix Suns,140,129,11,Bucks,Suns,0
Detroit Pistons,Miami Heat,101,104,-3,Pistons,Heat,0
Dallas Mavericks,Denver Nuggets,107,105,2,Mavericks,Nuggets,0
Orlando Magic,Toronto Raptors,111,96,15,Magic,Raptors,0
Washington Wizards,Boston Celtics,104,130,-26,Wizards,Celtics,0
San Antonio Spurs,Brooklyn Nets,122,115,7,Spurs,Nets,0
LA Clippers,Atlanta Hawks,93,110,-17,Clippers,Hawks,0
Indiana Pacers,Cleveland Cavaliers,103,108,-5,Pacers,Cavaliers,0
Philadelphia 76ers,Miami Heat,98,91,7,76ers,Heat,0
Boston Celtics,Detroit Pistons,119,94,25,Celtics,Pistons,0
Chicago Bulls,Portland Trail Blazers,110,107,3,Bulls,Blazers,0
Utah Jazz,Minnesota Timberwolves,104,114,-10,Jazz,Timberwolves,0
Sacramento Kings,Memphis Grizzlies,121,111,10,Kings,Grizzlies,0
Golden State Warriors,New York Knicks,112,119,-7,Warriors,Knicks,0
Los Angeles Lakers,Atlanta Hawks,136,105,31,Lakers,Hawks,0
Washington Wizards,Houston Rockets,114,137,-23,Wizards,Rockets,0
Orlando Magic,Charlotte Hornets,112,92,20,Magic,Hornets,0
Brooklyn Nets,New Orleans Pelicans,91,104,-13,Nets,Pelicans,0
San Antonio Spurs,Dallas Mavericks,107,113,-6,Spurs,Mavericks,0
Minnesota Timberwolves,Denver Nuggets,112,115,-3,Timberwolves,Nuggets,0
Cleveland Cavaliers,Miami Heat,104,107,-3,Cavaliers,Heat,0
Detroit Pistons,Indiana Pacers,103,122,-19,Pistons,Pacers,0
Toronto Raptors,Sacramento Kings,89,123,-34,Raptors,Kings,0
Boston Celtics,Milwaukee Bucks,122,119,3,Celtics,Bucks,0
Oklahoma City Thunder,Utah Jazz,119,107,12,Thunder,Jazz,0
Portland Trail Blazers,LA Clippers,103,116,-13,Blazers,Clippers,0
Phoenix Suns,Philadelphia 76ers,115,102,13,Suns,76ers,0
Golden State Warriors,Memphis Grizzlies,137,116,21,Warriors,Grizzlies,0
Orlando Magic,New Orleans Pelicans,121,106,15,Magic,Pelicans,0
Washington Wizards,Sacramento Kings,109,102,7,Wizards,Kings,0
Milwaukee Bucks,Brooklyn Nets,115,108,7,Bucks,Nets,0
Houston Rockets,Chicago Bulls,127,117,10,Rockets,Bulls,0
Dallas Mavericks,Utah Jazz,113,97,16,Mavericks,Jazz,0
Denver Nuggets,New York Knicks,113,100,13,Nuggets,Knicks,0
Phoenix Suns,Atlanta Hawks,128,115,13,Suns,Hawks,0
Toronto Raptors,Oklahoma City Thunder,103,123,-20,Raptors,Thunder,0
Detroit Pistons,Boston Celtics,102,129,-27,Pistons,Celtics,0
Minnesota Timberwolves,Cleveland Cavaliers,104,91,13,Timberwolves,Cavaliers,0
San Antonio Spurs,Memphis Grizzlies,97,99,-2,Spurs,Grizzlies,0
Miami Heat,New Orleans Pelicans,88,111,-23,Heat,Pelicans,0
Portland Trail Blazers,LA Clippers,117,125,-8,Blazers,Clippers,0
Golden State Warriors,Indiana Pacers,111,123,-12,Warriors,Pacers,0
Los Angeles Lakers,Philadelphia 76ers,101,94,7,Lakers,76ers,0
New York Knicks,Brooklyn Nets,105,93,12,Knicks,Nets,0
Orlando Magic,Sacramento Kings,107,109,-2,Magic,Kings,0
Atlanta Hawks,Charlotte Hornets,132,91,41,Hawks,Hornets,0
Washington Wizards,Toronto Raptors,112,109,3,Wizards,Raptors,0
Chicago Bulls,Boston Celtics,113,124,-11,Bulls,Celtics,0
San Antonio Spurs,Phoenix Suns,106,131,-25,Spurs,Suns,0
Houston Rockets,Utah Jazz,147,119,28,Rockets,Jazz,0
Portland Trail Blazers,Denver Nuggets,111,114,-3,Blazers,Nuggets,0
Detroit Pistons,New Orleans Pelicans,101,114,-13,Pistons,Pelicans,0
LA Clippers,Philadelphia 76ers,107,121,-14,Clippers,76ers,0
Miami Heat,Cleveland Cavaliers,121,84,37,Heat,Cavaliers,0
Milwaukee Bucks,Oklahoma City Thunder,118,93,25,Bucks,Thunder,0
Minnesota Timberwolves,Golden State Warriors,114,110,4,Timberwolves,Warriors,0
Los Angeles Lakers,Indiana Pacers,150,145,5,Lakers,Pacers,0
Cleveland Cavaliers,Charlotte Hornets,115,92,23,Cavaliers,Hornets,0
Atlanta Hawks,Boston Celtics,120,118,2,Hawks,Celtics,0
New York Knicks,Detroit Pistons,124,99,25,Knicks,Pistons,0
Toronto Raptors,Brooklyn Nets,88,96,-8,Raptors,Nets,0
San Antonio Spurs,Phoenix Suns,104,102,2,Spurs,Suns,0
Houston Rockets,Portland Trail Blazers,110,92,18,Rockets,Blazers,0
Chicago Bulls,Washington Wizards,105,107,-2,Bulls,Wizards,0
Denver Nuggets,Memphis Grizzlies,128,103,25,Nuggets,Grizzlies,0
Utah Jazz,Dallas Mavericks,105,115,-10,Jazz,Mavericks,0
Sacramento Kings,Philadelphia 76ers,108,96,12,Kings,76ers,0
LA Clippers,Indiana Pacers,116,133,-17,Clippers,Pacers,0
Miami Heat,Golden State Warriors,92,113,-21,Heat,Warriors,0
Milwaukee Bucks,Los Angeles Lakers,124,128,-4,Bucks,Lakers,0
New Orleans Pelicans,Oklahoma City Thunder,112,119,-7,Pelicans,Thunder,0
Sacramento Kings,Dallas Mavericks,96,132,-36,Kings,Mavericks,0
Charlotte Hornets,Cleveland Cavaliers,118,111,7,Hornets,Cavaliers,0
Washington Wizards,Brooklyn Nets,119,122,-3,Wizards,Nets,0
Orlando Magic,Golden State Warriors,93,101,-8,Magic,Warriors,0
