team,visitor,tscore,vscore,gamespread,shorthome,shortvis,attendance
Memphis Grizzlies,Los Angeles Lakers,121,109,12,Grizzlies,Lakers,0
Houston Rockets,Denver Nuggets,112,133,-21,Rockets,Nuggets,0
Oklahoma City Thunder,Sacramento Kings,117,123,-6,Thunder,Kings,0
Dallas Mavericks,Indiana Pacers,122,124,-2,Mavericks,Pacers,0
Utah Jazz,San Antonio Spurs,94,102,-8,Jazz,Spurs,0
LA Clippers,Minnesota Timberwolves,101,108,-7,Clippers,Timberwolves,0
Golden State Warriors,Portland Trail Blazers,123,105,18,Warriors,Blazers,0
Detroit Pistons,Chicago Bulls,115,117,-2,Pistons,Bulls,0
Charlotte Hornets,Phoenix Suns,91,105,-14,Hornets,Suns,0
New York Knicks,Brooklyn Nets,142,118,24,Knicks,Nets,0
Miami Heat,Philadelphia 76ers,96,119,-23,Heat,76ers,0
Boston Celtics,Cleveland Cavaliers,117,113,4,Celtics,Cavaliers,0
Milwaukee Bucks,Orlando Magic,139,117,22,Bucks,Magic,0
Houston Rockets,Memphis Grizzlies,99,113,-14,Rockets,Grizzlies,0
Oklahoma City Thunder,Los Angeles Lakers,117,123,-6,Thunder,Lakers,0
Portland Trail Blazers,New Orleans Pelicans,110,121,-11,Blazers,Pelicans,0
Washington Wizards,Toronto Raptors,119,108,11,Wizards,Raptors,0
Dallas Mavericks,Philadelphia 76ers,133,126,7,Mavericks,76ers,0
San Antonio Spurs,Indiana Pacers,110,99,11,Spurs,Pacers,0
Golden State Warriors,LA Clippers,115,91,24,Warriors,Clippers,0
Charlotte Hornets,Orlando Magic,106,117,-11,Hornets,Magic,0
Atlanta Hawks,Portland Trail Blazers,129,111,18,Hawks,Blazers,0
Boston Celtics,Brooklyn Nets,105,115,-10,Celtics,Nets,0
Miami Heat,New York Knicks,120,122,-2,Heat,Knicks,0
Chicago Bulls,Phoenix Suns,104,125,-21,Bulls,Suns,0
Oklahoma City Thunder,Utah Jazz,130,103,27,Thunder,Jazz,0
Sacramento Kings,LA Clippers,128,127,1,Kings,Clippers,0
Denver Nuggets,Memphis Grizzlies,113,97,16,Nuggets,Grizzlies,0
Golden State Warriors,New Orleans Pelicans,108,99,9,Warriors,Pelicans,0
Los Angeles Lakers,Minnesota Timberwolves,102,110,-8,Lakers,Timberwolves,0
Washington Wizards,Toronto Raptors,109,116,-7,Wizards,Raptors,0
Cleveland Cavaliers,Detroit Pistons,114,90,24,Cavaliers,Pistons,0
San Antonio Spurs,Houston Rockets,110,122,-12,Spurs,Rockets,0
Miami Heat,Atlanta Hawks,117,109,8,Heat,Hawks,0
Milwaukee Bucks,Philadelphia 76ers,130,133,-3,Bucks,76ers,0
Sacramento Kings,Minnesota Timberwolves,134,138,-4,Kings,Timberwolves,0
Dallas Mavericks,Phoenix Suns,126,130,-4,Mavericks,Suns,0
Chicago Bulls,Indiana Pacers,122,125,-3,Bulls,Pacers,0
Los Angeles Lakers,Golden State Warriors,113,105,8,Lakers,Warriors,0
Brooklyn Nets,Charlotte Hornets,102,86,16,Nets,Hornets,0
Orlando Magic,Portland Trail Blazers,119,122,-3,Magic,Blazers,0
Oklahoma City Thunder,Utah Jazz,129,119,10,Thunder,Jazz,0
Houston Rockets,San Antonio Spurs,142,110,32,Rockets,Spurs,0
Washington Wizards,Milwaukee Bucks,111,117,-6,Wizards,Bucks,0
Boston Celtics,New York Knicks,129,131,-2,Celtics,Knicks,0
LA Clippers,Memphis Grizzlies,135,129,6,Clippers,Grizzlies,0
Cleveland Cavaliers,Boston Celtics,118,114,4,Cavaliers,Celtics,0
Detroit Pistons,Portland Trail Blazers,104,110,-6,Pistons,Blazers,0
Indiana Pacers,Philadelphia 76ers,143,147,-4,Pacers,76ers,0
Miami Heat,Atlanta Hawks,130,128,2,Heat,Hawks,0
Denver Nuggets,Toronto Raptors,118,113,5,Nuggets,Raptors,0
Sacramento Kings,New Orleans Pelicans,123,108,15,Kings,Pelicans,0
Orlando Magic,Milwaukee Bucks,123,134,-11,Magic,Bucks,0
Detroit Pistons,Washington Wizards,117,119,-2,Pistons,Wizards,0
Minnesota Timberwolves,Philadelphia 76ers,94,117,-23,Timberwolves,76ers,0
New York Knicks,Charlotte Hornets,105,112,-7,Knicks,Hornets,0
Houston Rockets,Brooklyn Nets,96,118,-22,Rockets,Nets,0
Oklahoma City Thunder,Golden State Warriors,137,128,9,Thunder,Warriors,0
Dallas Mavericks,Utah Jazz,120,116,4,Mavericks,Jazz,0
